iter	Passed	Remaining
574	3623	59399
575	3629	59385
576	3635	59367
577	3641	59355
578	3647	59341
579	3653	59333
580	3658	59311
581	3664	59293
582	3670	59286
583	3675	59264
584	3681	59247
585	3687	59231
586	3692	59212
587	3698	59197
588	3703	59178
589	3709	59163
590	3714	59144
591	3721	59145
592	3727	59134
593	3733	59125
594	3740	59120
595	3746	59113
596	3752	59110
597	3759	59101
598	3764	59080
599	3769	59061
600	3775	59050
601	3781	59041
602	3787	59025
603	3793	59010
604	3799	58996
605	3804	58982
606	3810	58965
607	3816	58948
608	3821	58928
609	3827	58916
610	3833	58901
611	3838	58884
612	3844	58872
613	3850	58855
614	3855	58838
615	3861	58823
616	3866	58806
617	3872	58790
618	3877	58770
619	3883	58758
620	3889	58739
621	3894	58721
622	3901	58720
623	3907	58707
624	3913	58695
625	3918	58680
626	3924	58667
627	3930	58655
628	3935	58637
629	3942	58630
630	3947	58618
631	3952	58594
632	3958	58570
633	3963	58549
634	3968	58533
635	3975	58527
636	3981	58522
637	3986	58502
638	3994	58521
639	4002	58532
640	4009	58534
641	4015	58533
642	4022	58535
643	4028	58529
644	4034	58517
645	4040	58499
646	4045	58485
647	4051	58469
648	4056	58446
649	4062	58437
650	4068	58422
651	4073	58404
652	4078	58386
653	4084	58367
654	4090	58358
655	4096	58343
656	4101	58332
657	4107	58317
658	4113	58308
659	4119	58296
660	4125	58283
661	4131	58271
662	4136	58260
663	4142	58245
664	4148	58230
665	4153	58212
666	4159	58204
667	4165	58194
668	4171	58187
669	4177	58174
670	4183	58160
671	4188	58145
672	4194	58134
673	4200	58120
674	4205	58104
675	4211	58087
676	4218	58099
677	4226	58104
678	4232	58106
679	4238	58097
680	4244	58087
681	4250	58067
682	4255	58049
683	4261	58039
684	4267	58026
685	4273	58016
686	4278	58002
687	4284	57984
688	4290	57976
689	4295	57961
690	4301	57944
691	4307	57936
692	4312	57921
693	4318	57911
694	4324	57900
695	4330	57887
696	4335	57869
697	4341	57857
698	4346	57838
699	4352	57819
700	4357	57801
701	4363	57793
702	4368	57774
703	4374	57768
704	4380	57754
705	4385	57735
706	4391	57725
707	4397	57717
708	4403	57704
709	4409	57690
710	4414	57676
711	4420	57667
712	4426	57660
713	4432	57649
714	4438	57639
715	4444	57625
716	4449	57608
717	4455	57597
718	4461	57584
719	4466	57569
720	4472	57554
721	4477	57543
722	4483	57526
723	4489	57516
724	4495	57507
725	4500	57491
726	4505	57468
727	4511	57459
728	4517	57447
729	4522	57431
730	4528	57425
731	4534	57413
732	4540	57399
733	4545	57388
734	4551	57379
735	4557	57368
736	4563	57356
737	4569	57353
738	4575	57342
739	4581	57335
740	4587	57322
741	4593	57311
742	4599	57301
743	4604	57286
744	4610	57272
745	4616	57261
746	4621	57248
747	4627	57234
748	4633	57227
749	4638	57214
750	4645	57209
751	4651	57199
752	4657	57193
753	4662	57169
754	4668	57160
755	4673	57150
756	4680	57144
757	4685	57132
758	4692	57127
759	4698	57123
760	4704	57111
761	4709	57100
762	4716	57093
763	4721	57081
764	4727	57066
765	4733	57061
766	4739	57050
767	4745	57044
768	4750	57028
